,284.0
548,3.2659605998103562
549,3.261693244218012
550,3.257436005850521
551,3.253188855510949
552,3.2489517640494245
553,3.2447247023640102
554,3.2405076414015523
555,3.2363005521585118
556,3.232103405681773
557,3.227916173069433
558,3.2237388254715635
559,3.2195713340909684
560,3.2154136701839064
561,3.2112658050608034
562,3.207127710086943
563,3.2029993566831436
564,3.198880716326407
565,3.1947717605505632
566,3.190672460946887
567,3.186582789164704
568,3.1825027169119737
569,3.1784322159558673
570,3.1743712581233154
571,3.1703198153015517
572,3.1662778594386354
573,3.1622453625439597
574,3.1582222966887477
575,3.154208634006528
576,3.150204346693605
577,3.146209407009506
578,3.1422237872774184
579,3.138247459884619
580,3.13428039728288
581,3.1303225719888674
582,3.1263739565845277
583,3.1224345237174607
584,3.1185042461012804
585,3.114583096515961
586,3.110671047808177
587,3.1067680728916267
588,3.102874144747345
589,3.0989892364240124
590,3.095113321038238
591,3.0912463717748473
592,3.087388361887152
593,3.08353926469721
594,3.079699053596073
595,3.0758677020440346
596,3.0720451835708547
